                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97228,                 1.0697,                 1.0222,                0.76247,                0.60859,                0.64365,                0.49731,                0.79997,                0.68593,                 0.9213,               0.067081,             0.00033252,             0.00033252
                      2,                 0.8413,                0.67392,                0.97227,                0.77367,                0.71555,                0.78042,                0.63005,                 0.7147,                0.57067,                0.89752,               0.034064,             0.00064937,             0.00064937
                      3,                0.81205,                0.62436,                0.96288,                0.81799,                 0.8328,                0.87258,                0.70251,                0.67956,                0.52228,                0.89422,              0.0010314,             0.00094972,             0.00094972
                      4,                0.78347,                0.59438,                0.95507,                0.76851,                0.83373,                0.86281,                0.69787,                0.66087,                 0.5018,                0.88863,             0.00092575,             0.00092575,             0.00092575
                      5,                0.75849,                0.56585,                0.94793,                 0.7934,                0.85237,                0.87011,                0.72564,                0.63173,                0.48294,                 0.8748,               0.000901,               0.000901,               0.000901
                      6,                0.74082,                0.54764,                0.93994,                0.81334,                0.83286,                0.87358,                0.73051,                0.61679,                0.46159,                0.87251,             0.00087625,             0.00087625,             0.00087625
                      7,                0.72659,                0.53253,                0.93633,                0.75537,                0.85368,                0.85648,                0.70638,                0.62478,                0.45831,                0.87709,              0.0008515,              0.0008515,              0.0008515
                      8,                  0.712,                0.52075,                 0.9303,                0.76355,                0.85807,                0.86229,                0.71695,                0.60712,                0.44924,                0.86753,             0.00082675,             0.00082675,             0.00082675
                      9,                0.70927,                0.51569,                0.93026,                0.84858,                0.85562,                0.89087,                0.74678,                 0.6048,                0.44266,                0.86984,               0.000802,               0.000802,               0.000802
                     10,                0.69843,                0.50546,                0.92333,                0.83123,                0.83898,                0.88371,                0.74514,                0.59333,                0.43922,                0.86667,             0.00077725,             0.00077725,             0.00077725
                     11,                0.68899,                0.49401,                 0.9217,                0.86308,                0.85322,                0.90796,                0.77379,                0.57981,                0.42675,                 0.8599,              0.0007525,              0.0007525,              0.0007525
                     12,                0.68109,                 0.4912,                0.91981,                0.83709,                0.84974,                0.88364,                0.75696,                0.57586,                0.42454,                 0.8584,             0.00072775,             0.00072775,             0.00072775
                     13,                0.67491,                0.48434,                 0.9175,                0.82185,                0.84592,                0.86541,                0.72923,                 0.5691,                0.42458,                0.86117,               0.000703,               0.000703,               0.000703
                     14,                0.66759,                0.47768,                0.91319,                0.83689,                0.86235,                0.90058,                0.76796,                0.56314,                0.41537,                0.85718,             0.00067825,             0.00067825,             0.00067825
                     15,                0.65825,                0.47113,                0.91162,                0.81079,                0.87359,                0.89391,                0.76156,                0.56157,                0.40562,                0.85434,              0.0006535,              0.0006535,              0.0006535
                     16,                 0.6599,                0.46832,                0.91064,                 0.8469,                0.86448,                0.89698,                 0.7693,                0.54914,                0.40059,                0.85153,             0.00062875,             0.00062875,             0.00062875
                     17,                0.65299,                0.46451,                0.90721,                0.86339,                0.84802,                0.87933,                0.75159,                0.54904,                0.39896,                0.85094,               0.000604,               0.000604,               0.000604
                     18,                0.64762,                0.46054,                0.90761,                0.79929,                0.85491,                0.89411,                0.76807,                0.54387,                0.40061,                0.85027,             0.00057925,             0.00057925,             0.00057925
                     19,                0.63776,                 0.4532,                0.90309,                0.82003,                0.86905,                0.88785,                0.76009,                0.53727,                0.38844,                0.84555,              0.0005545,              0.0005545,              0.0005545
                     20,                0.63478,                0.44639,                0.90258,                0.81196,                0.86877,                0.88951,                0.76572,                0.53281,                0.38441,                 0.8467,             0.00052975,             0.00052975,             0.00052975
                     21,                0.63372,                0.44649,                0.90118,                0.82963,                0.85658,                0.89186,                0.77258,                0.54097,                0.38759,                0.84938,               0.000505,               0.000505,               0.000505
                     22,                0.62673,                0.44129,                0.89939,                0.83634,                0.86872,                0.89464,                0.77266,                0.52277,                0.37439,                0.84429,             0.00048025,             0.00048025,             0.00048025
                     23,                0.62422,                 0.4391,                0.89855,                0.84696,                0.86771,                0.90465,                 0.7881,                0.52522,                  0.376,                 0.8441,              0.0004555,              0.0004555,              0.0004555
                     24,                0.61897,                0.43316,                0.89726,                0.87635,                0.87198,                0.91207,                0.78898,                0.52295,                0.37786,                0.84151,             0.00043075,             0.00043075,             0.00043075
                     25,                0.61207,                0.42703,                0.89478,                0.84312,                0.86621,                0.90839,                0.78667,                  0.519,                0.37087,                0.84321,               0.000406,               0.000406,               0.000406
                     26,                0.60757,                0.42361,                0.89276,                0.85501,                0.85723,                0.89984,                0.78479,                0.52058,                 0.3728,                0.84512,             0.00038125,             0.00038125,             0.00038125
                     27,                 0.6059,                0.42166,                 0.8929,                0.81814,                0.92094,                0.88473,                0.77304,                0.51555,                0.36845,                0.84015,              0.0003565,              0.0003565,              0.0003565
                     28,                 0.6004,                0.41998,                0.89188,                0.84199,                0.89621,                0.90366,                0.78746,                0.51047,                0.36314,                0.83946,             0.00033175,             0.00033175,             0.00033175
                     29,                0.59927,                0.41585,                 0.8913,                0.85469,                0.86124,                0.89928,                0.78668,                0.50724,                0.36244,                0.83599,               0.000307,               0.000307,               0.000307
                     30,                0.59476,                0.41346,                0.88923,                 0.8602,                0.88865,                0.90929,                 0.7969,                 0.5051,                0.35951,                0.83754,             0.00028225,             0.00028225,             0.00028225
